Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M05	26.197
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M04	19.142
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M03	7.939
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M02	4.256
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M01	2.493
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M06	492.899
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M05	400.400
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M04	280.276
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M03	108.624
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M02	70.626
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M01	37.856
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M06	326.430
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M05	276.392
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M04	211.790
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M03	79.921
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M02	59.541
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M01	32.910
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	166.470
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	124.009
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	68.486
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	28.703
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	11.085
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	4.946
